age,education_level,experience_years,tech_skill_score,soft_skill_score,career_path
44,3,8,3,5,Cybersecurity Analyst
25,3,6,2,1,Mobile Developer
23,1,8,3,5,Mobile Developer
32,1,1,3,4,Data Scientist
28,4,7,5,5,Mobile Developer
42,2,7,3,3,UI/UX Designer
23,3,1,3,3,AI Engineer
21,3,3,4,5,Mobile Developer
23,4,6,2,3,Cybersecurity Analyst
25,1,3,4,4,Database Administrator
35,2,3,4,2,Software Engineer
34,1,5,1,3,AI Engineer
23,1,9,4,3,AI Engineer
21,1,5,5,5,Cybersecurity Analyst
25,1,9,5,4,Software Engineer
43,3,2,1,2,UI/UX Designer
34,3,8,2,5,AI Engineer
27,1,9,2,5,Data Scientist
29,2,1,4,4,Cybersecurity Analyst
35,4,5,4,2,AI Engineer
35,2,6,4,4,DevOps Engineer
30,2,8,2,2,Software Engineer
33,2,2,3,4,Mobile Developer
39,1,9,5,5,AI Engineer
27,3,2,3,5,Cybersecurity Analyst
37,2,6,3,1,Mobile Developer
40,1,3,2,3,Data Scientist
24,2,7,3,4,Mobile Developer
25,2,6,1,1,DevOps Engineer
43,1,4,4,3,UI/UX Designer
27,3,6,1,4,AI Engineer
33,3,2,5,2,Web Developer
35,4,1,4,3,Web Developer
31,1,5,3,5,Mobile Developer
24,4,1,5,1,IT Support
33,4,2,4,3,Software Engineer
27,4,5,3,3,Web Developer
39,3,4,1,5,IT Support
42,1,7,4,4,Web Developer
22,4,8,3,2,IT Support
30,1,2,1,5,Software Engineer
33,1,9,5,2,Database Administrator
41,3,2,5,4,Web Developer
26,4,2,5,3,DevOps Engineer
32,4,5,5,2,AI Engineer
32,1,0,2,1,IT Support
40,2,6,4,1,AI Engineer
31,3,0,4,5,Cybersecurity Analyst
43,3,4,2,4,Cybersecurity Analyst
27,3,9,3,5,Software Engineer
21,3,7,3,5,IT Support
21,4,3,5,5,Data Scientist
40,4,4,1,1,Cybersecurity Analyst
33,2,3,3,1,Software Engineer
29,3,3,1,5,Cybersecurity Analyst
23,3,7,4,1,Cybersecurity Analyst
27,1,1,1,4,Data Scientist
26,4,0,4,5,Web Developer
28,3,2,2,1,Mobile Developer
29,2,8,2,2,Database Administrator
25,2,3,5,5,Cybersecurity Analyst
21,4,9,3,5,Cybersecurity Analyst
39,2,4,5,4,DevOps Engineer
30,2,1,4,3,Database Administrator
32,4,3,5,3,Data Scientist
44,3,1,1,4,AI Engineer
35,3,1,4,4,IT Support
42,2,3,2,4,Cybersecurity Analyst
44,2,5,3,3,Mobile Developer
29,3,6,4,4,IT Support
40,4,9,4,1,Database Administrator
37,2,2,1,5,IT Support
37,1,2,3,5,Web Developer
40,4,9,2,2,Cybersecurity Analyst
32,2,5,4,2,IT Support
27,2,2,4,5,AI Engineer
22,1,1,1,1,AI Engineer
23,1,7,5,3,Cybersecurity Analyst
37,3,4,2,3,UI/UX Designer
25,4,0,3,1,AI Engineer
37,4,2,4,3,IT Support
44,3,9,4,4,Software Engineer
37,4,7,2,5,AI Engineer
37,4,3,5,5,Database Administrator
22,4,6,4,1,UI/UX Designer
22,4,9,2,3,IT Support
42,4,1,1,2,Data Scientist
43,1,6,5,2,DevOps Engineer
25,4,4,3,3,Data Scientist
21,1,4,4,2,Web Developer
21,4,5,2,1,DevOps Engineer
39,3,8,1,1,Web Developer
22,2,5,3,3,DevOps Engineer
41,1,7,2,2,DevOps Engineer
32,4,6,2,1,Software Engineer
26,3,8,3,1,Mobile Developer
43,2,3,1,4,Database Administrator
24,1,1,1,4,Data Scientist
43,2,6,5,1,AI Engineer
31,3,5,4,3,IT Support
44,1,0,3,5,UI/UX Designer
37,2,8,3,5,Database Administrator
26,4,8,3,1,Web Developer
44,1,1,1,1,Software Engineer
25,2,2,4,1,Web Developer
40,3,4,5,3,Mobile Developer
22,3,4,2,4,UI/UX Designer
26,1,0,2,1,Software Engineer
42,2,7,3,1,Web Developer
31,1,7,4,2,Mobile Developer
36,1,3,1,3,IT Support
36,2,6,4,1,IT Support
21,2,9,4,2,Web Developer
29,4,2,1,5,Database Administrator
26,2,5,3,1,UI/UX Designer
36,3,9,4,1,Cybersecurity Analyst
23,1,9,2,2,Database Administrator
40,1,8,1,3,IT Support
24,3,0,5,1,UI/UX Designer
39,2,4,3,5,Mobile Developer
23,3,3,1,1,Software Engineer
39,3,7,5,5,DevOps Engineer
40,4,0,5,4,Web Developer
27,3,8,4,4,Data Scientist
40,1,5,4,5,UI/UX Designer
29,3,3,4,3,AI Engineer
21,1,8,1,1,Mobile Developer
28,1,4,1,1,Cybersecurity Analyst
27,1,4,3,4,DevOps Engineer
38,2,4,4,5,AI Engineer
28,4,0,5,1,Cybersecurity Analyst
21,1,0,2,1,Data Scientist
31,1,7,3,3,IT Support
38,2,7,1,2,Database Administrator
43,1,5,3,4,Web Developer
30,3,3,3,4,Software Engineer
23,3,1,3,2,Cybersecurity Analyst
27,4,1,3,1,DevOps Engineer
36,1,8,2,3,UI/UX Designer
36,2,4,4,3,IT Support
40,3,3,5,4,UI/UX Designer
37,2,9,3,3,DevOps Engineer
22,2,0,3,2,UI/UX Designer
21,3,6,3,1,Cybersecurity Analyst
36,2,2,4,2,Mobile Developer
32,3,5,1,5,UI/UX Designer
25,2,4,1,4,Database Administrator
25,3,4,2,3,Data Scientist
43,1,4,1,5,Software Engineer
29,4,0,3,3,Cybersecurity Analyst
29,3,0,3,1,AI Engineer
23,3,2,3,1,DevOps Engineer
39,4,9,2,1,IT Support
36,3,3,3,3,Cybersecurity Analyst
36,3,4,1,5,Mobile Developer
23,2,1,4,1,IT Support
40,4,7,4,5,Database Administrator
44,1,1,5,3,DevOps Engineer
42,3,8,1,5,IT Support
44,4,1,3,3,UI/UX Designer
21,2,8,4,3,Cybersecurity Analyst
44,1,6,1,4,Data Scientist
40,4,7,4,3,DevOps Engineer
31,1,1,3,3,Web Developer
37,1,6,4,2,Database Administrator
28,1,5,5,1,Software Engineer
24,3,3,5,4,DevOps Engineer
26,3,6,4,4,Mobile Developer
28,2,3,1,4,Cybersecurity Analyst
40,2,1,1,2,UI/UX Designer
23,4,9,1,3,Software Engineer
36,2,6,4,1,Software Engineer
23,1,7,1,5,Database Administrator
38,1,1,3,3,IT Support
34,3,4,5,2,Mobile Developer
38,1,0,3,3,IT Support
22,4,6,1,3,UI/UX Designer
42,1,7,3,2,Software Engineer
23,1,5,1,4,Mobile Developer
36,4,4,4,4,Mobile Developer
29,2,5,3,1,AI Engineer
24,2,1,4,1,Cybersecurity Analyst
21,4,0,4,4,Software Engineer
24,3,6,2,5,Software Engineer
21,1,6,1,3,Mobile Developer
34,4,9,5,5,IT Support
41,1,9,1,3,Software Engineer
36,3,1,5,4,Mobile Developer
40,1,1,1,1,Software Engineer
44,4,0,4,1,Mobile Developer
28,1,9,3,5,AI Engineer
27,2,7,3,1,Cybersecurity Analyst
23,3,7,2,4,Mobile Developer
37,3,0,5,5,Software Engineer
21,3,7,5,3,UI/UX Designer
36,4,8,5,1,Cybersecurity Analyst
32,3,3,4,2,AI Engineer
39,2,0,5,1,Mobile Developer
42,4,0,3,3,UI/UX Designer
43,2,2,4,5,Mobile Developer
42,1,4,1,3,IT Support
34,1,4,5,2,Software Engineer
26,1,8,5,4,DevOps Engineer
26,1,9,1,1,Database Administrator
33,2,1,5,5,Data Scientist
39,4,1,1,4,IT Support
42,4,5,4,3,UI/UX Designer
28,3,8,3,5,IT Support
22,2,0,1,4,Web Developer
41,1,8,2,5,Mobile Developer
21,2,8,1,2,Mobile Developer
35,3,8,5,2,Data Scientist
21,3,4,4,1,Data Scientist
25,2,8,4,1,Web Developer
36,2,3,1,2,Software Engineer
39,2,1,3,5,Database Administrator
24,4,5,2,2,DevOps Engineer
23,1,3,4,1,DevOps Engineer
37,2,5,5,2,AI Engineer
37,2,2,5,2,AI Engineer
32,2,5,3,5,Software Engineer
34,3,1,4,4,AI Engineer
41,3,1,1,1,AI Engineer
26,4,8,5,5,Web Developer
23,1,6,3,2,Web Developer
29,4,2,4,2,AI Engineer
25,1,0,4,4,IT Support
44,3,7,4,1,Cybersecurity Analyst
37,3,5,4,1,Cybersecurity Analyst
34,3,6,4,3,Software Engineer
41,4,8,5,1,DevOps Engineer
23,2,4,3,4,Data Scientist
21,2,0,4,3,Software Engineer
40,3,9,2,3,AI Engineer
41,2,6,2,2,Web Developer
43,2,4,3,2,Mobile Developer
21,4,2,1,1,IT Support
23,1,8,1,3,UI/UX Designer
38,3,0,1,2,Web Developer
30,3,0,2,4,Cybersecurity Analyst
42,4,0,1,2,Web Developer
23,4,2,5,2,IT Support
28,2,5,4,3,Data Scientist
34,3,9,2,3,AI Engineer
44,1,2,3,5,Mobile Developer
38,4,7,3,4,Cybersecurity Analyst
35,1,9,4,3,Cybersecurity Analyst
42,1,1,2,1,Database Administrator
43,3,8,1,4,DevOps Engineer
22,3,2,1,4,Data Scientist
30,4,4,5,3,Cybersecurity Analyst
22,3,9,5,4,DevOps Engineer
37,3,7,1,3,Cybersecurity Analyst
28,3,1,3,2,AI Engineer
21,1,5,3,5,DevOps Engineer
29,4,4,5,2,IT Support
31,2,9,4,3,Database Administrator
42,1,8,1,3,AI Engineer
36,3,4,5,2,IT Support
27,1,1,5,1,Mobile Developer
30,3,4,1,1,Data Scientist
43,3,3,1,1,Data Scientist
23,1,6,3,3,UI/UX Designer
38,4,5,4,4,UI/UX Designer
44,3,1,4,3,DevOps Engineer
33,4,4,1,4,Data Scientist
27,2,6,2,2,DevOps Engineer
24,3,6,5,5,UI/UX Designer
33,4,4,5,4,Mobile Developer
40,4,8,1,1,Cybersecurity Analyst
21,2,3,2,3,IT Support
28,4,2,3,2,Web Developer
34,4,3,1,1,DevOps Engineer
36,2,4,1,2,Mobile Developer
34,3,5,5,5,IT Support
32,4,2,1,3,Data Scientist
39,4,1,1,3,Cybersecurity Analyst
43,4,3,1,5,IT Support
35,1,4,5,3,Database Administrator
22,2,3,3,4,UI/UX Designer
22,1,2,3,2,IT Support
43,2,7,1,1,Web Developer
42,3,9,5,5,Mobile Developer
39,3,3,3,4,Cybersecurity Analyst
42,4,1,3,1,AI Engineer
42,2,1,3,1,IT Support
37,3,0,5,5,Software Engineer
40,2,3,5,4,Web Developer
30,3,9,1,1,Web Developer
26,1,8,4,1,Software Engineer
35,3,6,3,4,Database Administrator
42,1,9,4,3,AI Engineer
31,3,6,5,1,UI/UX Designer
25,4,6,5,2,Mobile Developer
21,1,7,5,4,Cybersecurity Analyst
28,3,0,4,1,Mobile Developer
41,4,9,5,5,AI Engineer
32,1,9,1,2,Mobile Developer
32,4,7,5,1,Software Engineer
25,2,3,2,2,Web Developer
27,2,3,4,2,Mobile Developer
24,1,3,2,3,DevOps Engineer
26,3,5,5,2,IT Support
33,1,6,1,3,AI Engineer
40,4,5,3,4,Database Administrator
35,3,0,5,3,DevOps Engineer
23,2,7,1,5,Software Engineer
43,3,9,4,1,Data Scientist
28,2,6,2,4,Software Engineer
40,3,5,2,4,Database Administrator
36,3,5,2,5,Database Administrator
33,3,4,4,3,DevOps Engineer
38,4,5,1,1,IT Support
30,4,8,4,3,AI Engineer
39,1,9,2,2,UI/UX Designer
37,1,8,5,3,Web Developer
44,2,9,3,4,DevOps Engineer
39,4,7,4,1,Database Administrator
43,2,9,4,3,Data Scientist
25,1,8,1,1,Cybersecurity Analyst
41,2,9,1,1,Database Administrator
43,1,7,4,2,IT Support
29,4,7,2,2,IT Support
32,3,0,3,4,Database Administrator
41,4,9,1,5,IT Support
21,2,4,2,1,DevOps Engineer
21,2,3,5,5,Database Administrator
35,4,1,1,4,Database Administrator
22,4,7,2,1,AI Engineer
42,1,2,2,1,Web Developer
36,2,3,3,5,Data Scientist
28,2,6,3,3,IT Support
33,4,9,5,2,AI Engineer
41,3,8,2,3,UI/UX Designer
21,2,1,2,5,UI/UX Designer
36,3,2,3,2,Mobile Developer
27,4,3,1,3,DevOps Engineer
25,4,9,1,2,DevOps Engineer
42,1,0,4,1,Software Engineer
43,2,6,3,3,Data Scientist
23,3,1,4,2,Database Administrator
32,1,4,3,2,IT Support
36,2,0,5,2,Data Scientist
39,1,2,2,3,Mobile Developer
25,4,1,5,4,Software Engineer
42,2,0,3,3,AI Engineer
34,1,6,2,5,Data Scientist
25,1,4,1,3,AI Engineer
35,3,0,1,2,UI/UX Designer
37,1,5,4,1,IT Support
34,2,4,3,3,Mobile Developer
40,2,2,3,3,Database Administrator
25,3,6,1,2,IT Support
32,2,9,5,1,Web Developer
36,4,8,2,1,DevOps Engineer
36,2,8,5,5,Mobile Developer
41,2,8,5,3,Data Scientist
27,1,1,1,1,IT Support
24,1,2,1,1,Cybersecurity Analyst
21,2,6,1,4,DevOps Engineer
25,3,4,4,4,DevOps Engineer
43,1,1,5,1,Cybersecurity Analyst
30,3,2,3,5,Software Engineer
42,2,9,2,1,Software Engineer
25,2,5,4,2,Cybersecurity Analyst
24,4,6,3,3,Web Developer
22,1,8,5,5,UI/UX Designer
40,2,0,1,2,Cybersecurity Analyst
30,4,6,5,5,UI/UX Designer
39,1,7,2,2,IT Support
21,2,2,4,3,Web Developer
44,2,3,4,3,Mobile Developer
25,1,9,2,4,UI/UX Designer
33,1,5,3,2,DevOps Engineer
24,1,9,3,4,IT Support
36,2,6,4,2,DevOps Engineer
44,2,3,4,4,Web Developer
36,4,7,1,3,UI/UX Designer
43,3,4,3,5,AI Engineer
22,1,0,2,4,Web Developer
37,2,3,3,2,Web Developer
40,2,2,1,2,AI Engineer
44,1,8,4,3,IT Support
32,3,7,4,2,UI/UX Designer
38,1,0,1,1,UI/UX Designer
23,3,5,2,5,DevOps Engineer
21,2,8,4,4,Web Developer
21,3,6,5,5,Web Developer
39,4,3,4,3,Database Administrator
31,2,0,5,4,Mobile Developer
25,4,1,1,4,Web Developer
32,1,4,1,1,Data Scientist
23,1,4,4,3,Mobile Developer
21,1,7,3,2,Data Scientist
21,3,5,5,1,UI/UX Designer
28,2,7,2,1,Mobile Developer
30,1,1,4,5,Web Developer
31,1,2,2,5,AI Engineer
32,2,5,4,5,DevOps Engineer
33,1,9,3,1,Data Scientist
32,4,2,3,2,Mobile Developer
34,2,5,3,4,Web Developer
22,2,5,3,5,Mobile Developer
39,2,1,1,2,Web Developer
38,4,6,1,3,Web Developer
23,2,1,5,5,Web Developer
43,4,5,2,4,Database Administrator
37,2,0,4,3,DevOps Engineer
28,3,2,4,3,AI Engineer
30,1,1,1,4,AI Engineer
22,3,6,4,5,Mobile Developer
39,1,3,1,1,Mobile Developer
29,4,7,5,4,Web Developer
27,3,5,2,4,Database Administrator
24,2,9,5,4,Web Developer
41,1,3,3,3,Database Administrator
38,1,4,3,2,Web Developer
33,3,8,3,1,Data Scientist
31,4,6,5,5,Data Scientist
44,3,9,4,5,UI/UX Designer
24,4,8,2,2,Web Developer
41,4,6,3,4,DevOps Engineer
24,1,0,3,1,UI/UX Designer
30,3,7,3,5,Mobile Developer
25,3,3,2,5,IT Support
29,4,2,3,4,Web Developer
44,3,6,2,2,Data Scientist
23,2,2,3,1,IT Support
37,2,7,5,2,Database Administrator
23,3,5,5,2,IT Support
36,3,4,2,1,DevOps Engineer
24,4,3,5,1,Web Developer
38,2,7,2,5,AI Engineer
37,2,7,5,5,IT Support
27,1,0,5,1,AI Engineer
44,4,8,2,3,Database Administrator
43,1,4,4,5,UI/UX Designer
25,2,3,5,3,AI Engineer
32,4,5,3,1,UI/UX Designer
37,3,5,4,5,Data Scientist
43,4,1,2,2,Web Developer
33,3,7,4,1,IT Support
43,3,6,1,4,Data Scientist
23,4,0,1,3,Data Scientist
29,3,4,5,1,Cybersecurity Analyst
37,1,5,5,1,Software Engineer
37,2,3,3,5,DevOps Engineer
40,3,1,4,5,UI/UX Designer
36,1,3,1,5,Cybersecurity Analyst
42,3,0,5,4,Software Engineer
33,2,6,4,5,DevOps Engineer
39,1,1,5,1,UI/UX Designer
37,2,1,5,5,Web Developer
24,2,8,1,2,DevOps Engineer
32,1,4,1,5,IT Support
29,1,1,5,4,Data Scientist
39,1,8,2,2,Software Engineer
32,4,8,5,1,Software Engineer
29,1,0,5,1,Software Engineer
27,1,2,3,3,UI/UX Designer
34,1,3,3,2,IT Support
40,1,6,3,3,DevOps Engineer
39,3,9,2,2,Data Scientist
35,4,3,2,2,IT Support
36,2,1,5,4,Cybersecurity Analyst
41,1,6,3,3,Web Developer
25,3,5,2,4,AI Engineer
23,3,2,1,2,IT Support
32,3,5,5,1,Cybersecurity Analyst
40,2,5,4,2,Data Scientist
41,1,4,5,4,AI Engineer
24,4,3,4,3,AI Engineer
41,4,9,3,3,IT Support
43,3,0,4,4,Software Engineer
36,2,9,3,3,Mobile Developer
27,2,5,1,5,Data Scientist
33,2,1,4,1,Software Engineer
41,4,2,5,1,Data Scientist
30,3,7,3,1,Mobile Developer
27,1,9,5,3,Web Developer
34,4,5,2,3,Mobile Developer
25,3,2,3,2,Database Administrator
23,3,6,4,2,IT Support
43,1,3,3,1,IT Support
31,1,8,5,5,Cybersecurity Analyst
31,1,4,1,2,Software Engineer
38,2,2,3,2,Cybersecurity Analyst
35,1,1,4,3,Database Administrator
32,3,1,2,5,Mobile Developer
29,1,2,1,1,IT Support
30,3,1,2,2,UI/UX Designer
32,4,3,3,5,Mobile Developer
37,2,1,5,5,Mobile Developer
26,4,9,5,1,Database Administrator
27,4,8,4,5,Web Developer
34,3,1,5,5,Data Scientist
33,4,8,1,5,Database Administrator
28,3,5,5,2,Data Scientist
30,1,0,4,1,IT Support
29,1,3,3,5,Database Administrator
38,3,0,3,5,Data Scientist
22,1,5,5,2,Cybersecurity Analyst
25,2,3,2,1,Database Administrator
25,4,2,3,3,IT Support
26,2,2,5,2,Database Administrator
39,4,8,4,1,IT Support
28,1,5,5,5,Database Administrator
36,2,8,3,1,Data Scientist
33,1,4,4,1,Web Developer
21,4,1,5,1,DevOps Engineer
42,3,7,1,3,Data Scientist
40,3,4,4,1,Software Engineer
37,2,1,1,3,AI Engineer
27,1,3,2,5,Web Developer
33,1,8,4,3,Cybersecurity Analyst
24,2,3,1,5,Mobile Developer
24,3,3,3,5,Data Scientist
26,4,1,3,3,Database Administrator
39,2,5,2,2,Data Scientist
32,4,1,4,4,UI/UX Designer
42,3,6,4,1,Web Developer
27,1,2,4,4,DevOps Engineer
30,3,2,2,1,Cybersecurity Analyst
39,2,4,4,1,UI/UX Designer
27,1,2,3,5,IT Support
23,2,1,1,1,UI/UX Designer
33,2,9,3,1,Data Scientist
33,3,8,3,3,Cybersecurity Analyst
38,2,1,1,4,Data Scientist
40,3,1,3,3,IT Support
28,1,7,2,1,Mobile Developer
29,3,8,1,5,Cybersecurity Analyst
27,1,6,3,3,Mobile Developer
21,3,2,5,3,Web Developer
23,4,8,3,2,Web Developer
33,4,2,2,1,Mobile Developer
37,2,4,4,5,Web Developer
44,3,8,3,3,Cybersecurity Analyst
21,3,2,4,3,Database Administrator
26,1,6,5,5,Software Engineer
41,2,0,3,1,Web Developer
26,3,3,1,2,Web Developer
32,2,3,4,3,Data Scientist
33,4,6,5,2,Mobile Developer
33,3,7,1,4,AI Engineer
35,3,0,1,1,DevOps Engineer
41,2,4,1,4,UI/UX Designer
36,3,6,1,4,Web Developer
42,2,3,3,4,UI/UX Designer
41,3,3,3,1,Cybersecurity Analyst
31,1,3,3,1,AI Engineer
25,2,5,5,5,DevOps Engineer
24,3,6,5,2,Mobile Developer
23,4,1,5,2,Software Engineer
39,3,4,2,5,DevOps Engineer
40,4,3,5,5,DevOps Engineer
38,4,2,3,4,Software Engineer
35,1,6,3,5,Database Administrator
29,2,5,2,3,Mobile Developer
37,3,6,2,2,Data Scientist
34,1,4,5,5,UI/UX Designer
35,3,5,4,3,Web Developer
21,4,4,2,3,DevOps Engineer
41,2,6,1,3,Cybersecurity Analyst
42,3,1,3,3,Software Engineer
42,3,4,1,4,UI/UX Designer
23,4,5,3,3,AI Engineer
36,3,5,3,4,Software Engineer
43,3,4,2,4,AI Engineer
31,4,9,2,3,Mobile Developer
32,1,6,1,2,DevOps Engineer
30,4,9,3,3,Cybersecurity Analyst
36,1,7,1,3,Web Developer
28,2,6,4,3,AI Engineer
26,1,4,1,2,UI/UX Designer
32,1,0,5,1,Database Administrator
44,2,4,1,1,Mobile Developer
41,1,9,5,4,Database Administrator
28,4,1,5,4,Mobile Developer
24,1,4,5,2,Data Scientist
28,2,4,4,5,UI/UX Designer
38,4,1,1,1,Database Administrator
25,2,4,1,4,Cybersecurity Analyst
29,2,3,4,1,DevOps Engineer
24,3,0,3,2,Software Engineer
42,3,2,2,2,Web Developer
37,2,0,1,5,DevOps Engineer
29,2,4,2,5,DevOps Engineer
21,2,3,4,2,Mobile Developer
41,3,6,3,4,Cybersecurity Analyst
40,3,4,3,1,Mobile Developer
33,1,9,3,3,IT Support
36,1,3,4,5,AI Engineer
33,2,1,5,3,Web Developer
34,4,3,5,4,AI Engineer
23,4,1,2,5,Software Engineer
26,3,7,5,3,IT Support
38,3,2,5,4,UI/UX Designer
39,3,8,3,1,Software Engineer
25,2,3,3,4,Software Engineer
35,4,5,2,5,Data Scientist
22,1,9,1,2,Web Developer
30,2,4,2,1,Mobile Developer
44,1,9,2,3,Cybersecurity Analyst
38,1,0,4,5,AI Engineer
33,2,8,4,2,Software Engineer
25,1,0,2,4,AI Engineer
43,4,7,2,2,AI Engineer
44,1,8,2,5,UI/UX Designer
21,4,8,5,5,Web Developer
42,4,0,4,2,Web Developer
21,4,1,2,4,Database Administrator
38,3,0,3,2,DevOps Engineer
35,1,9,3,5,Web Developer
37,2,1,5,5,AI Engineer
31,2,9,5,3,Mobile Developer
41,1,7,1,3,AI Engineer
42,3,4,1,1,Mobile Developer
37,3,6,1,5,Database Administrator
33,4,1,5,3,Mobile Developer
21,1,7,5,2,Web Developer
22,1,5,5,4,UI/UX Designer
29,2,7,3,2,Mobile Developer
23,1,0,5,4,AI Engineer
21,3,0,3,3,Cybersecurity Analyst
41,1,6,1,1,Web Developer
36,2,7,1,2,Cybersecurity Analyst
43,4,2,1,2,IT Support
26,2,4,2,2,IT Support
37,2,0,2,4,AI Engineer
25,4,6,4,3,IT Support
25,2,4,4,2,DevOps Engineer
26,2,7,4,2,Database Administrator
23,1,7,2,1,Web Developer
41,1,8,2,1,Cybersecurity Analyst
43,4,6,4,3,AI Engineer
25,1,0,4,3,DevOps Engineer
41,1,2,5,5,AI Engineer
25,2,7,4,1,DevOps Engineer
30,3,2,5,5,IT Support
30,1,7,3,4,IT Support
39,3,0,2,5,Mobile Developer
37,1,4,4,2,Data Scientist
41,1,3,2,5,AI Engineer
34,4,4,2,3,Mobile Developer
29,4,7,2,4,Web Developer
34,4,9,3,2,Mobile Developer
21,3,3,1,5,Software Engineer
39,2,3,4,4,IT Support
33,1,2,1,4,Software Engineer
33,1,6,1,2,AI Engineer
24,1,2,1,5,Cybersecurity Analyst
21,3,2,2,4,Cybersecurity Analyst
37,4,9,5,4,Web Developer
28,2,4,2,1,Mobile Developer
22,3,4,2,4,Cybersecurity Analyst
28,4,5,1,1,DevOps Engineer
27,3,7,2,5,DevOps Engineer
22,2,9,1,5,Web Developer
42,4,5,5,5,Database Administrator
42,3,0,4,3,IT Support
23,2,7,1,5,Mobile Developer
38,1,7,5,4,AI Engineer
32,2,8,4,2,UI/UX Designer
21,1,8,3,1,UI/UX Designer
42,3,1,1,3,UI/UX Designer
